"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx","median_hhi"
"01003011403","Census Tract 114.03, Baldwin County, Alabama",0,0.0261,0.9545,0.0193,0.0366,49202
"01041963600","Census Tract 9636, Crenshaw County, Alabama",0,0.2157,0.7629,0.0213,0.006,33750
"01055010200","Census Tract 102, Etowah County, Alabama",0,0.1556,0.8263,0.0181,0.0326,38919
"01073003500","Census Tract 35, Jefferson County, Alabama",0,0.9324,0.0676,0,0.0058,35736
"01073003600","Census Tract 36, Jefferson County, Alabama",0,0.9427,0.0414,0.0159,0.0159,41547
"01073004000","Census Tract 40, Jefferson County, Alabama",0,0.8571,0.0892,0.0537,0.0683,18525
"01073011001","Census Tract 110.01, Jefferson County, Alabama",0,0.1178,0.8713,0.0108,0.064,68661
"01073014104","Census Tract 141.04, Jefferson County, Alabama",0.0053,0.4807,0.4742,0.0399,0.0432,47698
"01079979500","Census Tract 9795, Lawrence County, Alabama",0,0,0.9023,0.0977,0.04,47192
"01081041200","Census Tract 412, Lee County, Alabama",0.0468,0.1696,0.7759,0.0077,0.0067,78180
"01087232100","Census Tract 2321, Macon County, Alabama",0,0.9722,0.0039,0.0239,0,37566
"01095030500","Census Tract 305, Marshall County, Alabama",0.0117,0.0053,0.9701,0.0129,0.0207,44517
"01097006404","Census Tract 64.04, Mobile County, Alabama",0.0154,0.2143,0.7616,0.0087,0.055,62509
"01097006405","Census Tract 64.05, Mobile County, Alabama",0.0132,0.2787,0.6736,0.0345,0.0256,62952
"01101000400","Census Tract 4, Montgomery County, Alabama",0,0.5795,0.3631,0.0574,0.0555,21591
"01103005600","Census Tract 56, Morgan County, Alabama",0.0092,0.0244,0.9199,0.0465,0.0129,50827
"01121011100","Census Tract 111, Talladega County, Alabama",0,0.3111,0.6889,0,0,46302
"01123962300","Census Tract 9623, Tallapoosa County, Alabama",0.018,0.192,0.7357,0.0543,0.0861,51838
"01133965600","Census Tract 9656, Winston County, Alabama",0,0.0064,0.964,0.0295,0.0321,32822
"02020001900","Census Tract 19, Anchorage Municipality, Alaska",0.2503,0.0648,0.3923,0.2925,0.13,56155
"02020002900","Census Tract 29, Anchorage Municipality, Alaska",0.0116,0.0053,0.8221,0.161,0.0487,85703
"02290000200","Census Tract 2, Yukon-Koyukuk Census Area, Alaska",8e-04,8e-04,0.441,0.5574,0.0149,54375
"04005002200","Census Tract 22, Coconino County, Arizona",0.0212,7e-04,0.9333,0.0448,0.1115,85086
"04005002300","Census Tract 23, Coconino County, Arizona",0.0188,0.01,0.7184,0.2528,0.1168,57342
