"id","name","plaintiff","amount","date","attorney"
"09005362101","Census Tract 3621.01, Litchfield County, Connecticut","CAVALRY SPV I , LLC",3170.59,2020-10-23,"no"
"09001210800","Census Tract 2108, Fairfield County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",2619.03,2020-06-24,"no"
"09001072600","Census Tract 726, Fairfield County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",1597.78,2020-09-22,"no"
"09001080900","Census Tract 809, Fairfield County, Connecticut","UNIFUND CORPORATION",1465.88,2020-01-28,"no"
"09001071100","Census Tract 711, Fairfield County, Connecticut","SECOND ROUND SUB, LLC, ASSIGNEE OF SYNCHRONY BANK",984.56,2020-04-22,"no"
"09001071100","Census Tract 711, Fairfield County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",699.22,2020-11-02,"no"
"09001044200","Census Tract 442, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS LLC",776.53,2020-10-30,"no"
"09001080200","Census Tract 802, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2917.21,2020-09-29,"no"
"09001072100","Census Tract 721, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2414.22,2020-10-14,"no"
"09001061400","Census Tract 614, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2895.89,2020-09-22,"no"
"09001073100","Census Tract 731, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3745.74,2020-09-22,"no"
"09001080100","Census Tract 801, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1655.56,2020-06-22,"no"
"09001090400","Census Tract 904, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3874.52,2020-03-02,"no"
"09001100100","Census Tract 1001, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1594.35,2020-03-31,"no"
"09001070200","Census Tract 702, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3684.27,2020-05-04,"no"
