collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
pca acquisitions v llc,5,5,0,0.2%,0.6%,0.0%,0,0,0,0.0%,0%,0.0%,40.0%,40.0%,0%,60.0%,60.0%,0%,100.0%,100.0%,0%
jhpde finance 1 llc assignee of citibank na,4,2,2,0.2%,0.2%,0.1%,1729,0,1729,0.6%,0%,0.6%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,75.0%,50.0%,100.0%
pca acquisitions v llc assignee of synchrony bank,4,2,2,0.2%,0.2%,0.1%,0,0,0,0.0%,0%,0.0%,50.0%,50.0%,50.0%,25.0%,50.0%,0.0%,100.0%,100.0%,100.0%
cach llc,4,3,1,0.2%,0.4%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,75.0%,66.7%,100.0%,100.0%,100.0%,100.0%
pca acquisitions v llc assignee of capital one na,4,1,3,0.2%,0.1%,0.2%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
second round lp assignee of comenity capital bank,4,0,4,0.2%,0.0%,0.3%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
f & f distributors inc,3,3,0,0.1%,0.4%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,33.3%,33.3%,0%,66.7%,66.7%,0%
portfolio recovery associates,3,1,2,0.1%,0.1%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%,100.0%,100.0%,100.0%
pca acquisitions v llc assignee of citibank na,3,0,3,0.1%,0.0%,0.2%,0,0,0,0.0%,0%,0.0%,66.7%,0%,66.7%,33.3%,0%,33.3%,100.0%,0%,100.0%
bank of america na,3,3,0,0.1%,0.4%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
first portfolio ventures i llc,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
jh cx liquidating trust assignee of jh portfolio debt equities llc,2,2,0,0.1%,0.2%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
waterside financial inc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
second round sub llc assignee of synchrony bank,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
barclays bank delaware,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
cvi sgp-co acquisition trust assignee of sterling jewelers inc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cvi sgp acquisition trust assignee of sterling jewelers inc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
uhg i llc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
hartley & parker limited inc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%,50.0%,0%,50.0%
spark energy gas llc,1,0,1,0.0%,0.0%,0.1%,5693,0,5693,2.1%,0%,2.1%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
spark energy gas llc a limited liability company,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
bender plumbing supply,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jh cx liquidating trust assignee of comenity bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
citibank na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wfs earth materials,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
bureaus investment group portfolio no. 15 llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
membersfirst ct fcu,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
bureaus investment group assignee of capital one na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
crown asset management llc assigneee of comenity bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cvam llc d/b/a/ glastonbury water systems,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lisa b. flagge d/b/a long hill oil,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
franklin trust fcu,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
the leader store,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
capital one bank (usa) na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
nutmeg state finc credit union,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
portofolio recovery associates llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
bailco llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
second round sub llc successor in interest to synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
webcollex llc dba cks financial assignee of worlds foremost bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
crown asset management llc assignee of first national bank of omaha,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
credit corp soluitons inc assignee of synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cvi sgp-co acquisition trust,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jh cx liquidating trust assignee of bluestem,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
crown asset management llc assignee of webbank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jhpde finance 1 llc assignee of synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lupis bakery,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
g&g beverage distributorsinc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
bmw of north haven,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
key acquistions,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
td bank usa na,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,100.0%,100.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
jhpde finance 1 llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,100.0%,100.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
antoine damas,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
icon equities llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
nemcomed fw llc doing business as avaign instruments and implants division,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
